ed_map_for_viz,Trump,Biden,vote_differences,total_value,trump_pct,biden_pct,vote_counts_pct
78047,103,449,-346,1111,9.27092709270927,40.41404140414041,-31.14311431143114
78048,81,723,-642,1622,4.99383477188656,44.574599260172626,-39.580764488286064
78049,79,534,-455,1241,6.365834004834811,43.02981466559226,-36.66398066075745
78050,95,447,-352,1093,8.69167429094236,40.896614821591946,-32.20494053064959
78051,80,346,-266,858,9.324009324009324,40.32634032634033,-31.002331002331005
78052,54,358,-304,832,6.490384615384616,43.02884615384615,-36.53846153846154
78053,68,401,-333,946,7.188160676532769,42.38900634249472,-35.20084566596195
78054,53,311,-258,741,7.152496626180836,41.97031039136302,-34.81781376518219
78055,0,0,0,0,0.0,0.0,0.0
78059,97,360,-263,917,10.577971646673937,39.25845147219193,-28.680479825517992
78060,100,452,-352,1117,8.952551477170994,40.46553267681289,-31.5129811996419
78061,58,281,-223,683,8.49194729136164,41.142020497803806,-32.650073206442165
78062,68,308,-240,766,8.87728459530026,40.2088772845953,-31.331592689295043
78063,34,185,-151,443,7.674943566591422,41.760722347629795,-34.08577878103837
78064,43,300,-257,707,6.082036775106082,42.432814710042436,-36.35077793493635
78065,137,597,-460,1487,9.213180901143241,40.147948890383326,-30.934767989240086
78066,69,224,-155,592,11.655405405405405,37.83783783783784,-26.182432432432435
78067,75,380,-305,930,8.064516129032258,40.86021505376344,-32.795698924731184
78068,27,129,-102,319,8.463949843260188,40.43887147335423,-31.974921630094045
78069,54,458,-404,1032,5.232558139534884,44.37984496124031,-39.14728682170542
78070,62,305,-243,746,8.310991957104557,40.88471849865952,-32.57372654155496
78071,65,399,-334,937,6.937033084311634,42.58271077908218,-35.64567769477054
78072,56,257,-201,633,8.846761453396525,40.60031595576619,-31.753554502369667
78073,68,277,-209,696,9.770114942528735,39.798850574712645,-30.02873563218391
79001,43,301,-258,690,6.231884057971015,43.6231884057971,-37.391304347826086
79002,77,408,-331,981,7.8491335372069315,41.59021406727829,-33.74108053007136
79003,51,464,-413,1040,4.903846153846154,44.61538461538462,-39.71153846153847
79004,57,441,-384,1003,5.682951146560319,43.96809571286141,-38.28514456630109
79005,31,393,-362,853,3.6342321219226257,46.07268464243845,-42.438452520515824
79006,58,329,-271,778,7.455012853470437,42.28791773778921,-34.83290488431877
79007,61,407,-346,941,6.482465462274177,43.251859723698196,-36.76939426142402
79008,56,402,-346,925,6.054054054054054,43.45945945945946,-37.4054054054054
79009,20,204,-184,451,4.434589800443459,45.23281596452328,-40.79822616407982
79010,57,326,-269,776,7.345360824742269,42.01030927835052,-34.66494845360825
79011,34,265,-231,602,5.647840531561462,44.01993355481728,-38.372093023255815
79012,21,109,-88,262,8.015267175572518,41.603053435114504,-33.587786259541986
79013,90,442,-352,1074,8.379888268156424,41.154562383612664,-32.774674115456236
79014,23,188,-165,436,5.275229357798166,43.11926605504588,-37.84403669724771
79015,42,390,-348,869,4.833141542002301,44.87917146144994,-40.04602991944764
79016,61,396,-335,919,6.637649619151251,43.09031556039173,-36.45266594124048
79017,61,428,-367,997,6.118355065195587,42.92878635907723,-36.81043129388164
79018,31,407,-376,893,3.4714445688689812,45.576707726763715,-42.10526315789473
79019,37,299,-262,678,5.457227138643068,44.100294985250734,-38.643067846607664
79020,45,373,-328,845,5.325443786982249,44.142011834319526,-38.81656804733728
79021,33,313,-280,694,4.755043227665706,45.10086455331412,-40.34582132564841
79022,27,280,-253,617,4.376012965964344,45.38087520259319,-41.004862236628846
79023,46,327,-281,763,6.028833551769332,42.857142857142854,-36.82830930537352
79024,57,409,-352,940,6.0638297872340425,43.51063829787234,-37.4468085106383
79025,56,523,-467,1168,4.794520547945205,44.77739726027397,-39.98287671232877
79026,97,551,-454,1309,7.4102368220015284,42.093200916730325,-34.682964094728796
79027,67,517,-450,1186,5.649241146711636,43.59190556492412,-37.94266441821248
79028,82,597,-515,1363,6.016140865737344,43.800440205429204,-37.78429933969186
79030,54,348,-294,814,6.6339066339066335,42.75184275184275,-36.11793611793612
79031,39,404,-365,889,4.386951631046119,45.44431946006749,-41.05736782902137
79032,47,434,-387,972,4.8353909465020575,44.650205761316876,-39.81481481481482
79033,53,458,-405,1035,5.120772946859904,44.251207729468604,-39.1304347826087
79034,50,397,-347,902,5.543237250554324,44.01330376940133,-38.470066518847005
79035,51,454,-403,1015,5.024630541871921,44.72906403940887,-39.70443349753695
79036,52,474,-422,1067,4.873477038425492,44.42361761949391,-39.55014058106842
79037,29,396,-367,863,3.360370799536501,45.886442641946694,-42.52607184241019
79038,44,453,-409,1000,4.3999999999999995,45.300000000000004,-40.900000000000006
79039,64,514,-450,1161,5.512489233419466,44.27217915590009,-38.759689922480625
79040,77,551,-474,1268,6.072555205047318,43.45425867507887,-37.38170347003155
79041,38,552,-514,1182,3.2148900169204735,46.7005076142132,-43.48561759729273
79042,63,485,-422,1104,5.706521739130435,43.93115942028986,-38.22463768115942
79043,58,456,-398,1034,5.609284332688588,44.10058027079304,-38.49129593810445
79044,74,487,-413,1129,6.554472984942426,43.13551815766164,-36.581045172719215
79045,53,470,-417,1058,5.00945179584121,44.423440453686204,-39.413988657844996
79046,35,468,-433,1022,3.4246575342465753,45.79256360078278,-42.3679060665362
79047,62,396,-334,935,6.631016042780749,42.35294117647059,-35.72192513368984
79048,61,424,-363,982,6.211812627291242,43.17718940936864,-36.96537678207739
79049,41,426,-385,949,4.3203371970495255,44.889357218124346,-40.56902002107482
79050,56,394,-338,906,6.181015452538632,43.4878587196468,-37.30684326710817
79051,28,429,-401,926,3.023758099352052,46.32829373650108,-43.30453563714903
79052,51,419,-368,950,5.36842105263158,44.10526315789474,-38.73684210526316
79053,70,625,-555,1402,4.9928673323823105,44.57917261055635,-39.58630527817404
79054,58,390,-332,912,6.359649122807018,42.76315789473684,-36.40350877192982
79055,18,143,-125,327,5.5045871559633035,43.730886850152906,-38.226299694189606
79056,76,447,-371,1058,7.183364839319471,42.24952741020794,-35.066162570888466
79057,68,591,-523,1324,5.13595166163142,44.637462235649544,-39.50151057401813
79058,73,474,-401,1101,6.630336058128973,43.05177111716621,-36.421435059037236
79059,55,442,-387,1003,5.483549351944168,44.06779661016949,-38.58424725822532
79060,24,214,-190,482,4.979253112033195,44.398340248962654,-39.41908713692946
79061,63,438,-375,1014,6.21301775147929,43.19526627218935,-36.98224852071006
79062,82,559,-477,1297,6.322282189668465,43.09946029298381,-36.77717810331534
79063,44,391,-347,879,5.005688282138794,44.48236632536974,-39.47667804323095
79064,43,366,-323,822,5.231143552311435,44.52554744525548,-39.29440389294404
79065,47,341,-294,782,6.010230179028133,43.60613810741688,-37.59590792838875
79066,50,350,-300,819,6.105006105006105,42.73504273504273,-36.63003663003663
79067,44,233,-189,556,7.913669064748201,41.906474820143885,-33.992805755395686
79068,47,600,-553,1311,3.585049580472922,45.766590389016024,-42.181540808543105
79069,61,625,-564,1385,4.404332129963899,45.12635379061371,-40.722021660649816
79070,26,280,-254,623,4.173354735152488,44.9438202247191,-40.77046548956661
79071,22,210,-188,467,4.710920770877944,44.96788008565311,-40.25695931477516
79072,64,517,-453,1174,5.45144804088586,44.03747870528109,-38.58603066439523
79073,67,348,-281,835,8.023952095808383,41.67664670658683,-33.65269461077845
79074,15,77,-62,190,7.894736842105263,40.526315789473685,-32.631578947368425
79075,69,492,-423,1130,6.106194690265487,43.53982300884956,-37.43362831858407
79076,67,441,-374,1029,6.511175898931001,42.857142857142854,-36.345966958211854
79077,15,154,-139,343,4.373177842565598,44.89795918367347,-40.524781341107875
79078,9,201,-192,429,2.097902097902098,46.85314685314685,-44.75524475524475
79079,25,203,-178,458,5.458515283842795,44.32314410480349,-38.8646288209607
79080,0,0,0,0,0.0,0.0,0.0
79082,22,197,-175,444,4.954954954954955,44.36936936936937,-39.414414414414416
79083,60,489,-429,1106,5.424954792043399,44.21338155515371,-38.78842676311031
79084,62,472,-410,1083,5.724838411819022,43.58264081255771,-37.85780240073869
79085,33,303,-270,683,4.831625183016105,44.36310395314788,-39.53147877013177
79086,69,453,-384,1047,6.59025787965616,43.26647564469914,-36.676217765042985
79087,30,270,-240,607,4.942339373970346,44.481054365733115,-39.53871499176277
79088,5,52,-47,114,4.385964912280701,45.614035087719294,-41.228070175438596
79089,60,631,-571,1400,4.285714285714286,45.07142857142858,-40.78571428571429
79090,41,592,-551,1286,3.188180404354588,46.034214618973564,-42.846034214618975
80001,75,265,-190,693,10.822510822510822,38.23953823953824,-27.41702741702742
80002,40,280,-240,651,6.1443932411674345,43.01075268817204,-36.866359447004605
80003,372,248,124,1250,29.759999999999998,19.84,9.919999999999998
80004,117,147,-30,540,21.666666666666668,27.22222222222222,-5.555555555555554
80005,74,112,-38,376,19.680851063829788,29.78723404255319,-10.106382978723403
80006,112,155,-43,546,20.51282051282051,28.388278388278387,-7.875457875457876
80007,112,167,-55,578,19.377162629757784,28.892733564013838,-9.515570934256054
80008,84,152,-68,479,17.536534446764094,31.732776617954073,-14.19624217118998
80009,60,227,-167,582,10.309278350515463,39.00343642611684,-28.69415807560138
80010,139,356,-217,1003,13.858424725822532,35.49351944167498,-21.635094715852446
80011,43,85,-42,258,16.666666666666664,32.945736434108525,-16.27906976744186
80012,71,200,-129,553,12.839059674502712,36.166365280289334,-23.32730560578662
80013,82,334,-252,839,9.773539928486292,39.8092967818832,-30.035756853396904
80014,49,405,-356,918,5.337690631808279,44.11764705882353,-38.77995642701525
80015,42,257,-215,604,6.95364238410596,42.549668874172184,-35.59602649006622
80016,79,401,-322,970,8.144329896907216,41.340206185567006,-33.19587628865979
80017,70,438,-368,1022,6.8493150684931505,42.857142857142854,-36.007827788649706
80018,118,153,-35,555,21.26126126126126,27.56756756756757,-6.306306306306308
80019,111,106,5,442,25.1131221719457,23.981900452488688,1.131221719457013
80020,107,385,-278,1000,10.7,38.5,-27.8
80021,96,471,-375,1143,8.398950131233596,41.20734908136483,-32.808398950131235
80022,100,460,-360,1160,8.620689655172415,39.6551724137931,-31.03448275862069
80023,96,454,-358,1113,8.62533692722372,40.79065588499551,-32.16531895777179
80024,67,305,-238,763,8.781127129750983,39.973787680209696,-31.19266055045871
80025,81,354,-273,885,9.152542372881356,40.0,-30.847457627118644
80026,117,328,-211,895,13.072625698324023,36.64804469273743,-23.575418994413404
80027,124,237,-113,733,16.916780354706685,32.33287858117326,-15.416098226466577
80028,172,320,-148,992,17.338709677419356,32.25806451612903,-14.919354838709676
80029,85,99,-14,370,22.972972972972975,26.756756756756754,-3.783783783783779
80030,286,311,-25,1215,23.53909465020576,25.596707818930042,-2.0576131687242807
80031,284,422,-138,1434,19.804741980474198,29.428172942817294,-9.623430962343097
80032,186,216,-30,810,22.962962962962962,26.666666666666668,-3.703703703703706
80033,164,187,-23,706,23.229461756373937,26.487252124645895,-3.2577903682719587
80034,136,243,-107,767,17.731421121251632,31.681877444589308,-13.950456323337676
80035,163,196,-33,724,22.513812154696133,27.071823204419886,-4.558011049723753
80036,144,420,-276,1138,12.65377855887522,36.90685413005272,-24.2530755711775
80037,116,190,-74,618,18.77022653721683,30.74433656957929,-11.97411003236246
80038,89,293,-204,781,11.395646606914212,37.516005121638926,-26.120358514724714
80039,173,452,-279,1266,13.665086887835704,35.70300157977883,-22.037914691943122
80040,40,235,-195,557,7.1813285457809695,42.190305206463194,-35.00897666068222
80041,89,538,-449,1271,7.002360346184107,42.32887490165224,-35.32651455546814
80042,48,338,-290,780,6.153846153846154,43.333333333333336,-37.17948717948718
80043,108,347,-239,922,11.713665943600867,37.635574837310195,-25.92190889370933
80044,123,267,-144,792,15.530303030303031,33.71212121212121,-18.18181818181818
80045,137,398,-261,1088,12.591911764705882,36.580882352941174,-23.98897058823529
80046,33,186,-153,442,7.46606334841629,42.081447963800905,-34.61538461538461
80047,69,329,-260,809,8.529048207663783,40.66749072929542,-32.13844252163164
80048,90,520,-430,1238,7.269789983844912,42.003231017770595,-34.733441033925686
80049,1,24,-23,50,2.0,48.0,-46.0
80050,33,319,-286,712,4.634831460674158,44.80337078651686,-40.1685393258427
80051,95,282,-187,764,12.43455497382199,36.910994764397905,-24.476439790575917
80052,62,480,-418,1099,5.641492265696088,43.67606915377616,-38.034576888080075
80053,58,351,-293,822,7.0559610705596105,42.700729927007295,-35.64476885644768
80054,28,141,-113,340,8.235294117647058,41.47058823529412,-33.235294117647065
80055,71,549,-478,1254,5.6618819776714515,43.7799043062201,-38.11802232854865
80056,36,539,-503,1159,3.106125970664366,46.50560828300259,-43.39948231233822
80057,39,148,-109,376,10.372340425531915,39.361702127659576,-28.98936170212766
80058,129,544,-415,1359,9.492273730684326,40.02943340691685,-30.537159676232527
80059,13,111,-98,248,5.241935483870968,44.75806451612903,-39.516129032258064
80060,58,534,-476,1196,4.849498327759197,44.64882943143812,-39.799331103678924
80061,7,109,-102,234,2.9914529914529915,46.58119658119658,-43.58974358974359
80062,62,397,-335,930,6.666666666666667,42.68817204301075,-36.02150537634409
80063,67,626,-559,1405,4.7686832740213525,44.555160142348754,-39.7864768683274
80064,39,381,-342,846,4.609929078014184,45.0354609929078,-40.42553191489362
80065,39,600,-561,1287,3.0303030303030303,46.620046620046615,-43.589743589743584
80066,112,215,-103,658,17.02127659574468,32.67477203647417,-15.653495440729486
80067,112,398,-286,1024,10.9375,38.8671875,-27.9296875
80068,124,329,-205,911,13.611416026344674,36.11416026344676,-22.50274423710209
80069,33,171,-138,410,8.048780487804878,41.70731707317073,-33.65853658536585
80070,115,434,-319,1105,10.407239819004525,39.276018099547514,-28.86877828054299
80071,60,371,-311,870,6.896551724137931,42.64367816091954,-35.74712643678161
80073,37,283,-246,649,5.701078582434515,43.6055469953775,-37.90446841294299
80074,39,436,-397,964,4.045643153526971,45.22821576763486,-41.18257261410788
80075,2,10,-8,24,8.333333333333332,41.66666666666667,-33.33333333333334
80076,101,273,-172,760,13.289473684210526,35.921052631578945,-22.631578947368418
80077,87,380,-293,952,9.138655462184873,39.91596638655462,-30.77731092436975
80078,98,529,-431,1277,7.674236491777604,41.42521534847298,-33.750978856695376
80079,82,490,-408,1158,7.081174438687392,42.31433506044905,-35.233160621761655
80080,126,645,-519,1562,8.066581306017925,41.293213828425095,-33.22663252240717
80081,104,495,-391,1217,8.545603944124897,40.673788003286774,-32.128184059161875
80082,54,252,-198,616,8.766233766233766,40.909090909090914,-32.142857142857146
80083,115,547,-432,1334,8.620689655172415,41.00449775112443,-32.38380809595202
80084,99,423,-324,1058,9.357277882797732,39.981096408317576,-30.623818525519845
80085,68,451,-383,1052,6.4638783269961975,42.870722433460074,-36.40684410646388
80086,70,365,-295,882,7.936507936507936,41.383219954648524,-33.44671201814059
80087,30,243,-213,553,5.424954792043399,43.942133815551536,-38.517179023508135
80088,0,0,0,0,0.0,0.0,0.0
80089,0,0,0,0,0.0,0.0,0.0
80093,76,316,-240,794,9.571788413098236,39.79848866498741,-30.226700251889174
80094,100,530,-430,1284,7.78816199376947,41.27725856697819,-33.48909657320872
80095,86,458,-372,1097,7.839562443026436,41.750227894257065,-33.91066545123063
81001,55,353,-298,829,6.634499396863691,42.58142340168878,-35.94692400482509
81002,126,442,-316,1142,11.033274956217163,38.704028021015766,-27.670753064798603
81003,80,386,-306,940,8.51063829787234,41.06382978723404,-32.5531914893617
81004,78,340,-262,850,9.176470588235293,40.0,-30.823529411764707
81005,107,478,-371,1184,9.037162162162163,40.37162162162162,-31.33445945945946
81006,124,526,-402,1318,9.408194233687405,39.90895295902883,-30.500758725341427
81007,140,461,-321,1219,11.484823625922887,37.817883511074655,-26.33305988515177
81008,48,257,-209,621,7.729468599033816,41.38486312399356,-33.655394524959746
81009,49,277,-228,668,7.335329341317365,41.467065868263475,-34.13173652694611
81010,23,181,-158,416,5.528846153846153,43.50961538461539,-37.98076923076923
81011,13,122,-109,274,4.744525547445255,44.52554744525548,-39.78102189781022
81012,111,610,-499,1460,7.602739726027398,41.78082191780822,-34.17808219178082
81013,47,266,-219,642,7.320872274143301,41.43302180685358,-34.112149532710276
81014,57,353,-296,844,6.753554502369669,41.824644549763036,-35.07109004739337
81015,114,510,-396,1270,8.976377952755906,40.15748031496063,-31.181102362204726
81017,59,574,-515,1276,4.623824451410658,44.98432601880878,-40.360501567398124
81018,52,415,-363,943,5.514316012725344,44.008483563096505,-38.49416755037116
81019,88,574,-486,1342,6.557377049180328,42.77198211624441,-36.214605067064085
81020,65,604,-539,1344,4.836309523809524,44.94047619047619,-40.104166666666664
81021,58,583,-525,1292,4.489164086687306,45.12383900928793,-40.634674922600624
81022,45,468,-423,1034,4.352030947775629,45.26112185686654,-40.90909090909091
81023,84,625,-541,1461,5.749486652977413,42.77891854893908,-37.02943189596167
81024,43,393,-350,889,4.83689538807649,44.20697412823397,-39.37007874015748
81025,154,216,-62,755,20.397350993377483,28.60927152317881,-8.211920529801326
81026,86,221,-135,636,13.522012578616351,34.74842767295597,-21.226415094339618
81027,188,222,-34,837,22.461170848267624,26.523297491039425,-4.062126642771801
81028,169,244,-75,852,19.835680751173708,28.638497652582164,-8.802816901408455
81029,147,165,-18,635,23.1496062992126,25.984251968503933,-2.8346456692913335
81030,240,255,-15,1001,23.976023976023978,25.47452547452547,-1.4985014985014935
81031,187,175,12,743,25.168236877523555,23.553162853297444,1.6150740242261108
81032,157,209,-52,747,21.01740294511379,27.978580990629183,-6.961178045515393
81033,105,400,-295,1032,10.174418604651162,38.759689922480625,-28.585271317829463
81034,122,475,-353,1226,9.9510603588907,38.743882544861336,-28.792822185970635
81035,169,575,-406,1515,11.155115511551156,37.95379537953795,-26.798679867986795
81036,102,448,-346,1112,9.172661870503598,40.28776978417266,-31.115107913669064
81037,130,543,-413,1377,9.44081336238199,39.433551198257085,-29.992737835875097
81038,111,565,-454,1361,8.155767817781042,41.51359294636297,-33.35782512858193
81039,86,282,-196,738,11.653116531165312,38.21138211382114,-26.558265582655828
81040,117,533,-416,1314,8.904109589041095,40.56316590563166,-31.65905631659056
81041,184,564,-380,1533,12.002609262883235,36.79060665362035,-24.787997390737118
81042,50,156,-106,416,12.01923076923077,37.5,-25.48076923076923
81043,93,307,-214,820,11.341463414634147,37.4390243902439,-26.097560975609753
81044,103,260,-157,738,13.956639566395665,35.230352303523034,-21.27371273712737
81045,31,123,-92,315,9.841269841269842,39.04761904761905,-29.20634920634921
