ed_map_for_viz,Trump,Clinton,vote_differences,total_value,trump_pct,clinton_pct,vote_counts_pct
78013,27,486,-459,1048,2.5763358778625953,46.37404580152672,-43.79770992366412
78014,18,427,-409,903,1.9933554817275747,47.286821705426355,-45.29346622369878
78015,22,257,-235,567,3.880070546737213,45.326278659611994,-41.44620811287478
78016,18,297,-279,642,2.803738317757009,46.26168224299065,-43.45794392523364
78017,8,252,-244,522,1.532567049808429,48.275862068965516,-46.74329501915709
78018,17,450,-433,943,1.8027571580063628,47.720042417815485,-45.91728525980912
78019,33,442,-409,958,3.4446764091858038,46.13778705636743,-42.693110647181626
78020,30,433,-403,958,3.1315240083507305,45.19832985386221,-42.06680584551148
78021,21,320,-299,701,2.9957203994293864,45.6490727532097,-42.65335235378031
78022,14,333,-319,710,1.971830985915493,46.901408450704224,-44.92957746478873
78023,32,604,-572,1297,2.467232074016962,46.569005397070164,-44.1017733230532
78024,46,631,-585,1374,3.3478893740902476,45.924308588064044,-42.57641921397379
78025,36,441,-405,966,3.7267080745341614,45.65217391304348,-41.92546583850932
78026,18,534,-516,1130,1.592920353982301,47.256637168141594,-45.663716814159294
78027,24,500,-476,1058,2.2684310018903595,47.25897920604915,-44.990548204158785
78028,31,360,-329,802,3.865336658354115,44.88778054862843,-41.02244389027431
78029,24,509,-485,1079,2.2242817423540315,47.173308619091756,-44.949026876737726
78030,70,569,-499,1316,5.319148936170213,43.237082066869306,-37.91793313069909
78031,45,484,-439,1087,4.139834406623735,44.52621895124195,-40.38638454461822
78032,55,395,-340,931,5.907626208378089,42.42749731471536,-36.51987110633727
78033,77,658,-581,1548,4.974160206718346,42.50645994832041,-37.53229974160207
78034,30,393,-363,883,3.397508493771234,44.50736126840317,-41.10985277463194
78035,26,139,-113,343,7.580174927113703,40.524781341107875,-32.94460641399417
78036,37,479,-442,1055,3.5071090047393367,45.40284360189574,-41.895734597156405
78037,4,57,-53,126,3.1746031746031744,45.23809523809524,-42.06349206349206
78038,51,542,-491,1215,4.197530864197531,44.609053497942384,-40.41152263374485
78039,36,180,-144,464,7.758620689655173,38.793103448275865,-31.03448275862069
78040,90,615,-525,1457,6.177076183939602,42.21002059025395,-36.03294440631434
78041,110,448,-338,1155,9.523809523809524,38.78787878787879,-29.264069264069263
78042,0,3,-3,6,0.0,50.0,-50.0
78043,8,183,-175,384,2.083333333333333,47.65625,-45.572916666666664
78044,25,264,-239,590,4.23728813559322,44.74576271186441,-40.50847457627119
78045,35,512,-477,1135,3.0837004405286343,45.11013215859031,-42.02643171806167
78046,32,576,-544,1236,2.5889967637540456,46.601941747572816,-44.01294498381877
78047,25,519,-494,1124,2.224199288256228,46.17437722419929,-43.95017793594306
78048,49,639,-590,1428,3.431372549019608,44.747899159663866,-41.31652661064426
78049,30,526,-496,1150,2.608695652173913,45.73913043478261,-43.130434782608695
78050,31,506,-475,1115,2.780269058295964,45.38116591928251,-42.600896860986545
78051,23,421,-398,912,2.5219298245614032,46.16228070175439,-43.640350877192986
78052,29,565,-536,1212,2.392739273927393,46.617161716171616,-44.224422442244226
78053,16,500,-484,1059,1.5108593012275733,47.21435316336166,-45.70349386213408
78054,16,305,-289,659,2.4279210925644916,46.28224582701062,-43.85432473444613
78055,0,0,0,0,0.0,0.0,0.0
78056,0,0,0,0,0.0,0.0,0.0
78057,0,0,0,0,0.0,0.0,0.0
78059,13,185,-172,403,3.225806451612903,45.90570719602978,-42.67990074441688
78060,26,451,-425,982,2.6476578411405294,45.926680244399186,-43.27902240325866
78061,24,291,-267,645,3.7209302325581395,45.11627906976744,-41.3953488372093
78062,25,288,-263,650,3.8461538461538463,44.30769230769231,-40.46153846153846
78063,9,241,-232,509,1.768172888015717,47.347740667976424,-45.579567779960705
78064,14,341,-327,726,1.9283746556473829,46.96969696969697,-45.04132231404959
78065,20,270,-250,596,3.3557046979865772,45.302013422818796,-41.94630872483222
78066,20,285,-265,621,3.22061191626409,45.893719806763286,-42.673107890499196
78067,44,322,-278,758,5.804749340369393,42.480211081794195,-36.675461741424805
79001,20,599,-579,1258,1.5898251192368837,47.61526232114468,-46.02543720190779
79002,18,426,-408,902,1.9955654101995564,47.22838137472284,-45.23281596452328
79003,15,464,-449,979,1.5321756894790604,47.3953013278856,-45.86312563840654
79004,15,336,-321,706,2.1246458923512748,47.59206798866856,-45.467422096317286
79005,9,534,-525,1098,0.819672131147541,48.63387978142077,-47.814207650273225
79006,28,356,-328,784,3.571428571428571,45.40816326530612,-41.83673469387755
79007,16,469,-453,989,1.6177957532861478,47.4216380182002,-45.80384226491405
79008,10,296,-286,624,1.6025641025641024,47.43589743589743,-45.83333333333333
79009,6,221,-215,470,1.276595744680851,47.02127659574468,-45.744680851063826
79010,17,581,-564,1227,1.3854930725346373,47.35126324368378,-45.965770171149146
79011,18,185,-167,420,4.285714285714286,44.047619047619044,-39.76190476190476
79012,7,117,-110,254,2.7559055118110236,46.06299212598425,-43.30708661417323
79013,34,581,-547,1252,2.7156549520766773,46.405750798722046,-43.69009584664537
79014,8,144,-136,311,2.572347266881029,46.30225080385852,-43.72990353697749
79015,18,428,-410,899,2.0022246941045605,47.60845383759733,-45.60622914349277
79016,16,425,-409,900,1.7777777777777777,47.22222222222222,-45.44444444444444
79017,27,476,-449,1019,2.649656526005888,46.712463199214916,-44.062806673209025
79018,13,399,-386,845,1.5384615384615385,47.218934911242606,-45.680473372781066
79019,18,302,-284,646,2.786377708978328,46.749226006191954,-43.962848297213625
79020,15,351,-336,745,2.013422818791946,47.11409395973155,-45.1006711409396
79021,19,294,-275,639,2.97339593114241,46.009389671361504,-43.03599374021909
79022,10,268,-258,561,1.7825311942959003,47.771836007130126,-45.98930481283423
79023,18,373,-355,797,2.258469259723965,46.800501882057716,-44.54203262233375
79024,24,441,-417,948,2.5316455696202533,46.51898734177215,-43.9873417721519
79025,19,455,-436,967,1.9648397104446742,47.05274043433299,-45.08790072388832
79026,18,391,-373,829,2.1712907117008444,47.165259348612786,-44.993968636911944
79027,24,548,-524,1160,2.0689655172413794,47.241379310344826,-45.172413793103445
79028,39,696,-657,1497,2.6052104208416833,46.49298597194389,-43.8877755511022
79030,23,370,-347,803,2.86425902864259,46.07721046077211,-43.212951432129515
79031,7,445,-438,919,0.7616974972796519,48.42219804134929,-47.66050054406964
79032,17,370,-353,790,2.151898734177215,46.835443037974684,-44.68354430379747
79033,12,355,-343,745,1.6107382550335572,47.651006711409394,-46.040268456375834
79034,21,404,-383,868,2.4193548387096775,46.54377880184332,-44.12442396313364
79035,17,493,-476,1033,1.6456921587608906,47.72507260406583,-46.07938044530494
79036,6,177,-171,372,1.6129032258064515,47.58064516129033,-45.96774193548388
79037,4,249,-245,512,0.78125,48.6328125,-47.8515625
79038,7,531,-524,1098,0.6375227686703097,48.36065573770492,-47.72313296903461
79039,17,571,-554,1180,1.4406779661016949,48.389830508474574,-46.94915254237288
79040,24,650,-626,1371,1.75054704595186,47.410649161196204,-45.66010211524434
79041,11,519,-508,1078,1.0204081632653061,48.144712430426715,-47.124304267161406
79042,25,513,-488,1095,2.28310502283105,46.849315068493155,-44.5662100456621
79043,18,345,-327,739,2.435723951285521,46.68470906630582,-44.248985115020304
79044,32,545,-513,1170,2.735042735042735,46.58119658119658,-43.84615384615385
79045,31,683,-652,1454,2.1320495185694637,46.97386519944979,-44.84181568088032
79046,14,587,-573,1223,1.1447260834014716,47.996729354047424,-46.85200327064595
79047,26,609,-583,1281,2.029664324746292,47.540983606557376,-45.51131928181108
79048,13,349,-336,736,1.766304347826087,47.41847826086957,-45.652173913043484
79049,13,382,-369,813,1.5990159901599015,46.98646986469865,-45.38745387453875
79050,22,468,-446,993,2.2155085599194364,47.129909365558916,-44.91440080563948
79051,14,429,-415,906,1.545253863134658,47.35099337748344,-45.80573951434878
79052,25,575,-550,1232,2.029220779220779,46.67207792207792,-44.64285714285714
79053,20,462,-442,985,2.030456852791878,46.90355329949239,-44.87309644670051
79054,12,304,-292,648,1.8518518518518516,46.913580246913575,-45.06172839506172
79055,7,101,-94,224,3.125,45.089285714285715,-41.964285714285715
79056,29,472,-443,1022,2.8375733855185907,46.1839530332681,-43.34637964774951
79057,22,587,-565,1245,1.7670682730923692,47.14859437751004,-45.38152610441767
79058,23,474,-451,1009,2.2794846382556986,46.97720515361744,-44.697720515361745
79059,31,462,-431,998,3.106212424849699,46.292585170340686,-43.186372745490985
79060,14,244,-230,527,2.6565464895635675,46.29981024667932,-43.643263757115754
79061,22,500,-478,1076,2.0446096654275094,46.468401486988846,-44.42379182156134
79062,28,524,-496,1120,2.5,46.785714285714285,-44.285714285714285
79063,20,540,-520,1134,1.763668430335097,47.61904761904761,-45.85537918871252
79064,3,240,-237,486,0.6172839506172839,49.382716049382715,-48.76543209876543
79065,18,463,-445,979,1.8386108273748722,47.29315628192033,-45.45454545454546
79066,12,402,-390,840,1.4285714285714286,47.85714285714286,-46.42857142857143
79067,10,246,-236,516,1.937984496124031,47.674418604651166,-45.736434108527135
79068,21,604,-583,1268,1.6561514195583598,47.63406940063091,-45.97791798107255
79069,52,912,-860,1969,2.6409344845099034,46.31792788217369,-43.676993397663786
79070,8,309,-301,643,1.244167962674961,48.055987558320375,-46.81181959564542
79071,20,577,-557,1202,1.6638935108153077,48.00332778702163,-46.339434276206326
79072,22,544,-522,1152,1.9097222222222223,47.22222222222222,-45.3125
79073,30,350,-320,777,3.861003861003861,45.04504504504504,-41.184041184041185
79074,2,90,-88,186,1.0752688172043012,48.38709677419355,-47.31182795698925
79075,33,525,-492,1131,2.9177718832891246,46.41909814323608,-43.50132625994695
79076,34,405,-371,901,3.7735849056603774,44.950055493895675,-41.1764705882353
79077,3,142,-139,303,0.9900990099009901,46.864686468646866,-45.87458745874588
79078,5,199,-194,418,1.1961722488038278,47.60765550239234,-46.411483253588514
79079,3,223,-220,455,0.6593406593406593,49.01098901098901,-48.35164835164835
79080,0,0,0,0,0.0,0.0,0.0
79081,0,0,0,0,0.0,0.0,0.0
79082,18,846,-828,1743,1.0327022375215147,48.53700516351119,-47.50430292598968
79083,14,489,-475,1026,1.364522417153996,47.66081871345029,-46.29629629629629
79084,33,519,-486,1118,2.9516994633273703,46.422182468694096,-43.470483005366724
79085,11,316,-305,660,1.6666666666666667,47.878787878787875,-46.21212121212121
79086,20,488,-468,1022,1.9569471624266144,47.74951076320939,-45.79256360078278
80001,60,226,-166,595,10.084033613445378,37.983193277310924,-27.899159663865547
80002,18,253,-235,574,3.1358885017421603,44.076655052264805,-40.940766550522646
80003,276,124,152,825,33.45454545454545,15.03030303030303,18.424242424242422
80004,143,174,-31,663,21.568627450980394,26.244343891402718,-4.675716440422324
80005,92,105,-13,408,22.54901960784314,25.735294117647058,-3.186274509803919
80006,125,183,-58,638,19.59247648902821,28.683385579937305,-9.090909090909093
80007,108,206,-98,643,16.796267496111973,32.03732503888025,-15.241057542768274
80008,80,233,-153,649,12.326656394453005,35.901386748844374,-23.57473035439137
80009,44,226,-182,549,8.014571948998178,41.16575591985428,-33.151183970856096
80010,97,324,-227,865,11.213872832369942,37.45664739884393,-26.242774566473983
80011,16,112,-96,263,6.083650190114068,42.585551330798474,-36.5019011406844
80012,32,211,-179,494,6.477732793522267,42.71255060728745,-36.23481781376518
80013,57,358,-301,847,6.729634002361275,42.26682408500591,-35.537190082644635
80014,15,321,-306,695,2.158273381294964,46.18705035971223,-44.02877697841727
80015,30,230,-200,535,5.607476635514018,42.99065420560748,-37.38317757009346
80016,96,568,-472,1372,6.997084548104956,41.39941690962099,-34.40233236151603
80017,32,482,-450,1059,3.0217186024551466,45.51463644948065,-42.4929178470255
80018,135,222,-87,732,18.442622950819672,30.327868852459016,-11.885245901639344
80019,114,129,-15,506,22.529644268774703,25.494071146245062,-2.964426877470359
80020,99,332,-233,903,10.96345514950166,36.76633444075305,-25.802879291251386
80021,64,538,-474,1261,5.07533703409992,42.664551942902456,-37.58921490880253
80022,33,341,-308,779,4.2362002567394095,43.77406931964056,-39.53786906290115
80023,115,490,-375,1253,9.177972865123703,39.10614525139665,-29.928172386272944
80024,64,680,-616,1539,4.158544509421702,44.184535412605584,-40.02599090318388
80025,60,465,-405,1084,5.535055350553505,42.89667896678967,-37.361623616236166
80026,52,337,-285,810,6.419753086419753,41.604938271604944,-35.18518518518519
80027,89,200,-111,600,14.833333333333334,33.33333333333333,-18.499999999999993
80028,119,284,-165,848,14.033018867924529,33.490566037735846,-19.457547169811317
80029,54,102,-48,326,16.56441717791411,31.28834355828221,-14.723926380368102
80030,220,262,-42,1006,21.868787276341948,26.043737574552683,-4.174950298210735
80031,239,401,-162,1319,18.11978771796816,30.401819560272937,-12.282031842304779
80032,143,174,-31,654,21.865443425076453,26.605504587155966,-4.740061162079513
80033,124,148,-24,572,21.678321678321677,25.874125874125873,-4.195804195804197
80034,119,275,-156,813,14.637146371463713,33.82533825338253,-19.18819188191882
80035,110,205,-95,644,17.080745341614907,31.832298136645964,-14.751552795031056
80036,111,383,-272,1021,10.871694417238002,37.51224289911851,-26.640548481880508
80037,105,167,-62,552,19.021739130434785,30.253623188405797,-11.231884057971012
80038,64,290,-226,737,8.683853459972863,39.348710990502035,-30.664857530529172
80039,92,283,-191,767,11.994784876140809,36.89700130378096,-24.902216427640152
80040,25,248,-223,560,4.464285714285714,44.285714285714285,-39.82142857142857
80041,75,638,-563,1468,5.108991825613079,43.46049046321526,-38.35149863760218
80042,31,335,-304,737,4.2062415196743554,45.45454545454545,-41.248303934871096
80043,59,326,-267,791,7.458912768647282,41.21365360303413,-33.75474083438685
80044,60,283,-223,701,8.559201141226819,40.37089871611983,-31.811697574893014
80045,96,521,-425,1260,7.6190476190476195,41.34920634920635,-33.73015873015873
80046,24,194,-170,445,5.393258426966292,43.59550561797752,-38.20224719101123
80047,54,311,-257,753,7.171314741035857,41.301460823373176,-34.13014608233732
80048,30,280,-250,633,4.739336492890995,44.23380726698262,-39.494470774091624
80049,4,82,-78,176,2.272727272727273,46.590909090909086,-44.31818181818181
80050,44,565,-521,1251,3.5171862509992007,45.1638689048761,-41.646682653876894
80051,49,159,-110,423,11.583924349881796,37.5886524822695,-26.004728132387704
80052,35,476,-441,1056,3.3143939393939394,45.07575757575758,-41.76136363636364
80053,21,302,-281,659,3.1866464339908953,45.82701062215478,-42.640364188163886
80054,19,133,-114,319,5.956112852664576,41.692789968652036,-35.73667711598746
80055,62,632,-570,1407,4.4065387348969445,44.9182658137882,-40.511727078891255
80056,19,506,-487,1063,1.7873941674506115,47.60112888052681,-45.813734713076194
80057,26,241,-215,552,4.710144927536232,43.65942028985507,-38.949275362318836
80058,58,360,-302,858,6.75990675990676,41.95804195804196,-35.1981351981352
80059,11,90,-79,208,5.288461538461538,43.269230769230774,-37.98076923076923
80060,27,625,-598,1339,2.0164301717699775,46.676624346527255,-44.66019417475728
80061,4,89,-85,191,2.094240837696335,46.596858638743456,-44.50261780104712
80062,33,373,-340,843,3.9145907473309607,44.246737841043895,-40.33214709371293
80063,23,473,-450,1012,2.272727272727273,46.73913043478261,-44.466403162055336
80064,25,382,-357,829,3.0156815440289506,46.07961399276236,-43.06393244873341
80065,13,559,-546,1163,1.117798796216681,48.06534823731729,-46.947549441100605
80066,98,272,-174,756,12.962962962962962,35.978835978835974,-23.015873015873012
80067,87,351,-264,896,9.709821428571429,39.174107142857146,-29.464285714285715
80068,96,319,-223,855,11.228070175438596,37.30994152046784,-26.081871345029242
80069,18,143,-125,331,5.438066465256798,43.202416918429,-37.764350453172206
80070,50,403,-353,927,5.393743257820928,43.47357065803668,-38.07982740021575
80071,42,330,-288,775,5.419354838709677,42.58064516129032,-37.16129032258064
80073,29,277,-248,618,4.692556634304207,44.82200647249191,-40.129449838187696
80074,18,606,-588,1273,1.4139827179890023,47.604084838963075,-46.190102120974075
80075,0,10,-10,20,0.0,50.0,-50.0
80076,63,275,-212,698,9.025787965616045,39.39828080229226,-30.372492836676216
80077,32,522,-490,1128,2.8368794326241136,46.27659574468085,-43.43971631205673
80078,41,590,-549,1305,3.1417624521072796,45.21072796934866,-42.06896551724138
80079,54,525,-471,1184,4.5608108108108105,44.34121621621622,-39.7804054054054
80080,63,649,-586,1467,4.294478527607362,44.23994546693933,-39.94546693933197
80081,54,637,-583,1409,3.8325053229240598,45.209368346344924,-41.37686302342087
80082,38,232,-194,575,6.608695652173912,40.34782608695652,-33.73913043478261
80083,62,486,-424,1152,5.381944444444445,42.1875,-36.80555555555556
80084,52,543,-491,1227,4.2379788101059495,44.25427872860636,-40.01629991850041
80085,56,581,-525,1305,4.291187739463601,44.52107279693487,-40.229885057471265
80086,44,627,-583,1365,3.223443223443224,45.934065934065934,-42.71062271062271
80087,17,210,-193,471,3.6093418259023355,44.5859872611465,-40.976645435244166
80088,0,0,0,0,0.0,0.0,0.0
80089,0,0,0,0,0.0,0.0,0.0
80092,0,0,0,0,0.0,0.0,0.0
81001,21,404,-383,871,2.4110218140068884,46.38346727898966,-43.972445464982776
81002,57,487,-430,1101,5.177111716621254,44.23251589464123,-39.05540417801998
81003,14,166,-152,363,3.8567493112947657,45.73002754820937,-41.87327823691461
81004,57,615,-558,1375,4.1454545454545455,44.72727272727273,-40.58181818181818
81005,38,538,-500,1186,3.204047217537943,45.362563237774026,-42.158516020236085
81006,53,474,-421,1077,4.921077065923862,44.01114206128134,-39.09006499535748
81007,69,591,-522,1363,5.062362435803375,43.36023477622891,-38.297872340425535
81008,22,264,-242,590,3.728813559322034,44.74576271186441,-41.016949152542374
81009,23,359,-336,783,2.937420178799489,45.84929757343551,-42.911877394636015
81010,13,157,-144,354,3.672316384180791,44.35028248587571,-40.67796610169492
81011,9,104,-95,226,3.982300884955752,46.017699115044245,-42.03539823008849
81012,69,527,-458,1249,5.524419535628502,42.1937550040032,-36.6693354683747
81013,39,258,-219,618,6.310679611650485,41.74757281553398,-35.43689320388349
81014,61,345,-284,853,7.151230949589683,40.44548651817116,-33.29425556858148
81015,77,497,-420,1198,6.42737896494157,41.48580968280468,-35.05843071786311
81016,0,0,0,0,0.0,0.0,0.0
81017,23,582,-559,1228,1.8729641693811077,47.39413680781759,-45.52117263843648
81018,31,561,-530,1205,2.572614107883817,46.55601659751037,-43.983402489626556
81019,18,345,-327,740,2.4324324324324325,46.62162162162162,-44.189189189189186
81020,56,577,-521,1298,4.314329738058552,44.45300462249615,-40.1386748844376
81021,34,491,-457,1056,3.2196969696969697,46.496212121212125,-43.276515151515156
81022,15,431,-416,915,1.639344262295082,47.10382513661202,-45.46448087431694
81023,32,575,-543,1255,2.549800796812749,45.81673306772908,-43.266932270916335
81024,27,369,-342,806,3.3498759305210917,45.78163771712159,-42.4317617866005
81025,134,172,-38,635,21.102362204724407,27.086614173228345,-5.984251968503937
81026,97,182,-85,596,16.2751677852349,30.536912751677853,-14.261744966442954
81027,153,158,-5,649,23.57473035439137,24.345146379044685,-0.7704160246533149
81028,149,199,-50,750,19.866666666666667,26.53333333333333,-6.666666666666664
81029,126,140,-14,555,22.702702702702705,25.225225225225223,-2.522522522522518
81030,181,199,-18,800,22.625,24.875,-2.25
81031,159,167,-8,683,23.2796486090776,24.45095168374817,-1.1713030746705684
81032,149,157,-8,637,23.390894819466247,24.646781789638933,-1.2558869701726856
81033,72,397,-325,995,7.236180904522612,39.89949748743719,-32.663316582914575
81034,66,383,-317,939,7.0287539936102235,40.788072417465386,-33.75931842385516
81035,65,322,-257,821,7.917174177831912,39.2204628501827,-31.30328867235079
81036,119,661,-542,1626,7.318573185731856,40.65190651906519,-33.333333333333336
81037,74,533,-459,1258,5.88235294117647,42.368839427662955,-36.486486486486484
81038,37,621,-584,1334,2.7736131934032984,46.55172413793103,-43.77811094452773
81039,36,299,-263,707,5.091937765205092,42.29137199434229,-37.199434229137196
81040,49,568,-519,1269,3.8613081166272654,44.759653270291565,-40.8983451536643
81041,125,528,-403,1378,9.071117561683598,38.31640058055152,-29.245283018867923
81042,36,148,-112,377,9.549071618037134,39.257294429708224,-29.708222811671092
81043,81,308,-227,813,9.96309963099631,37.88437884378843,-27.921279212792122
81044,81,209,-128,611,13.2569558101473,34.20621931260229,-20.949263502454993
81045,16,113,-97,262,6.106870229007633,43.12977099236641,-37.02290076335878
81046,28,206,-178,705,3.9716312056737593,29.219858156028366,-25.248226950354606
81047,32,113,-81,308,10.38961038961039,36.688311688311686,-26.298701298701296
81048,60,363,-303,884,6.787330316742081,41.06334841628959,-34.276018099547514
81049,81,285,-204,787,10.292249047013977,36.213468869123254,-25.92121982210928
81050,67,389,-322,961,6.971904266389179,40.4786680541103,-33.50676378772112
81051,63,317,-254,808,7.797029702970297,39.23267326732673,-31.435643564356432
81052,44,147,-103,401,10.972568578553615,36.65835411471321,-25.6857855361596
81053,55,135,-80,402,13.681592039800993,33.582089552238806,-19.900497512437813
81054,91,493,-402,1235,7.368421052631578,39.91902834008097,-32.550607287449395
81055,129,442,-313,1183,10.904480135249365,37.362637362637365,-26.458157227388
81056,136,455,-319,1236,11.003236245954692,36.81229773462783,-25.80906148867314
